driverId,name,ssn,location,certified,wage-plan
10,Jennifer Higgins,397-67-1971,"44302 Jesse Freeway Suite 534
West Jennifershire, FL 35324",N,hours
11,Sharon Daniels,177-77-1803,"8981 Jeffrey Brook
Wintersmouth, NV 92152",N,miles
12,Bryan Mcmillan,151-74-6646,"92948 Bethany Branch Suite 660
Heatherfort, LA 56862",N,miles
13,Zachary Todd,302-82-3410,"53418 Beck Drive
Goodmanberg, MI 80711",Y,miles
14,Melissa Francis,444-37-9548,"82932 Mark Extensions
West Jasonshire, AL 21132",N,hours
15,Jessica Santiago,665-55-4685,"355 Dawn Expressway Suite 728
South Jeffreyborough, IN 27837",N,hours
16,Timothy Mason,575-13-6836,"848 Aaron Hills Suite 658
Calvinhaven, MD 58451",N,miles
17,Michael Griffin,794-98-1571,"318 White Canyon
Erinhaven, FL 88230",Y,miles
18,Ann Cervantes,867-85-5685,"84549 Wade Course Suite 810
East Peter, FM 69939",N,hours
19,Christine Wallace,877-18-5839,"776 Lamb Brook
Lake Timothychester, UT 19273",Y,miles
20,Michael Rodriguez,102-19-4361,"5837 Courtney Stream Suite 448
Williamville, ID 20015",N,miles
21,David Deleon,401-42-2426,"2600 Meghan Forest Apt. 801
Hahnmouth, SC 95751",Y,hours
22,Renee Olson,548-69-9568,"584 Juan Spur
West Scottside, DC 75513",N,miles
23,Brandon Smith,641-27-7647,"995 Lynn Ports Suite 536
Bellton, NJ 23536",Y,miles
24,Crystal May,853-78-8666,"020 Andrew Course
South Wayne, ME 36180",N,hours
25,Glenda Price,462-31-4601,"086 Morrison Isle Suite 530
Aliciabury, VA 64429",N,hours
26,James Noble,154-90-4800,"929 Kimberly Heights Suite 599
South Victoria, PR 03172",N,miles
27,Walter Adams PhD,006-30-6058,"2928 Yolanda Coves Suite 291
South Richardburgh, GU 29719",Y,hours
28,Christopher Roberts,676-96-4500,"760 Edwards Flat
Boothmouth, NH 40971",N,hours
